PDB,Smile String,Molar Refractivity,Polarizability (10-24cm3),miLogP,TPSA,natoms,MW,nOH,nOHNH,nviolations,nrotb,volume,DeltaG(kJ/mol),deltaH(kJ/mol),TdeltaS(kJ/mol),GPCR ligand ,Ion channel Modulator ,Kinase Inhibitor,Nuclear Receptor ligand ,Protease ligand,Enzyme inhibitor,
1e4w,OCC1NOC(=O)CCC(NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)N)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2[nH]cnc2)NC1=O)C(=O)O,None,None,-4.58,399.75,66,922.91,25,14,3,13,794.85,-43.1,-111.29,-68.2,-3.037,-3.623,-3.572,-3.657,-2.518,-3.324,
1e4x,OCC(NC(=O)C(NC(=O)C(N)C(C)C)C(C)C)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)O,201.8,80,-4.83,367.21,58,816.87,22,14,3,24,729.88,-43.1,-102.93,-59.83,-1.552,-2.874,-2.551,-2.983,-0.77,-2.069,
1gz9,OC[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@@H]1O)[C@@H](O)[C@H](O)C=O,103.7,41.1,-4.82,256.29,33,488.44,15,10,2,10,411.8,-20,-19.7,0.3,0.053,-0.02,-0.12,-0.138,0.2,0.365,
1gzc,OC[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O,70.8,28.1,-4.45,189.53,23,342.3,11,8,2,4,283.93,-19.9,-29.9,-10.44,0.22,0.164,0.039,-0.029,0.211,0.506,
1hpv,Nc1ccc(cc1)S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](NC(=O)O[C@H]1CCOC1)Cc1ccccc1,134.6,53.4,4.13,131.2,35,505.64,9,4,1,12,458.73,-55.65,-28.03,27.61,0.298,-0.241,-0.215,-0.376,1.012,0.343,
1hsg,O[C@@H](C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1[C@H](O)Cc2ccccc12)CN1CCN(Cc2cccnc2)C[C@@H]1C(=O)NC(C)(C)C,176.1,69.8,2.51,118.02,45,613.8,9,4,1,12,590.13,-53.14,8.79,61.92,0.181,-0.519,-0.383,-0.699,0.662,-0.2,
1i82,OC[C@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]1O,70.8,28.1,-4.45,189.53,23,342.3,11,8,2,4,283.93,-33.52,-46.32,-12.91,0.22,0.164,0.039,-0.029,0.211,0.506,
1i8a,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,37.3,14.8,-2.64,110.37,12,180.16,6,5,0,1,151.81,-20.19,-31.18,-11.37,-0.443,0.018,-0.801,-0.855,-0.511,0.4,
1is0,CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C1C(C(=O)NC)C1c1ccc(cc1)OP(=O)(O)O)C(=O)O,157.1,62.3,-3.1,295.05,47,686.61,18,9,3,19,584.6,-39.96,-18.74,21.21,0.105,-0.813,-0.303,-0.278,0.517,-0.097,
1jet,NCCCCC(N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)O,90.8,36,-4.59,173.56,24,345.44,9,9,1,13,337.73,-41.1,20.1,61.1,0.528,0.352,0.054,0.003,0.859,0.442,
