PDB,Smile String,miLogP,TPSA,natoms,MW,nOH,nOHNH,nviolations,nrotb,volume
1ohr,O[C@H](CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)[C@@H](CSc1ccccc1)NC(=O)c1cccc(O)c1C,5.47,101.89,40,567.8,7,4,2,10,544.79
1mtb,NC(=O)C[C@H](NC(=O)c1ccc2ccccc2n1)C(=O)N[C@H](Cc1ccccc1)[C@@H](O)CN1C[C@@H]2CCCC[C@@H]2C[C@@H]1C(=O)NC(C)(C)C,4.26,166.75,49,670.86,11,6,3,13,637.2
1f7a,NCCCCC(N)C(=O)NC(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(C)C(=O)NC(CCSC)C(=O)NC(CO)C(=O)O,-5.65,470.66,74,1075.3,28,20,3,38,996.67
1t7j,Nc1ccc(cc1)S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](NC(=O)O[C@H]1CCOC1)Cc1ccccc1,4.13,131.2,35,505.64,9,4,1,12,458.73
1t7i,Nc1ccc(cc1)S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12,4.32,140.43,38,547.67,10,4,1,12,490.53
1a30,OC(=O)CCC(N)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)O,-3.89,196.12,26,375.38,11,7,2,12,335.34
1hxw,O=C(OCc1cncs1)N[C@H](Cc1ccccc1)[C@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(C)C,7.51,145.78,50,720.96,11,4,3,18,663.1
1a4h,CO[C@H]1C[C@@H](C)CC2=C(OC)C(=O)C=C(NC(=O)C(=CC=C[C@H](OC)[C@@H](OC(=O)N)C(=C[C@H](C)[C@H]1O)C)C)C2=O,0.43,163.5,40,560.64,11,4,2,5,522.11
1bgq,C[C@@H]1C[C@H]2O[C@@H]2C=CC=CC(=O)Cc2c(C(=O)O1)c(O)cc(O)c2Cl,2.7,96.36,25,364.78,6,2,0,0,303.35
1t0w,OC[C@H]1O[C@H](O[C@@H]2[C@H](CO)O[C@H](O)[C@@H](NC(=O)C)[C@H]2O)[C@@H](NC(=O)C)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1NC(=O)C,-5.57,295.29,43,627.6,19,11,3,10,535.84
1rd4,CCOc1ccccc1Sc1ccc(cc1[N](=O)O)c1ccnc(c1)N1CCN(CC1)C(=O)C,4.38,91.5,34,478.57,8,0,0,7,423.99
1lzb,OC[C@H]1O[C@H](O[C@@H]2[C@H](CO)O[C@H](O)[C@@H](NC(=O)C)[C@H]2O)[C@@H](NC(=O)C)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1NC(=O)C,-5.57,295.29,43,627.6,19,11,3,10,535.84
1qy1,COc1nccnc1CC(C)C,1.95,35.02,12,166.22,3,0,0,3,168.03
1qy2,COc1nccnc1C(C)C,1.69,35.02,11,152.2,3,0,0,2,151.23
1i06,CC[C@@H](C)c1nccs1,1.98,12.89,9,141.24,1,0,0,2,137.35
1i05,CCC(=O)CCC(C)(C)O,1.08,37.3,10,144.21,2,1,0,4,156.23
1elj,OC[C@H]1O[C@@H](O[C@@H]2[C@H](CO)OC(O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]1O,-5.25,268.68,34,504.44,16,11,3,7,416.05
4mbp,OC[C@H]1O[C@@H](O[C@@H]2[C@H](CO)O[C@@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H]1O,-5.69,347.83,45,666.58,21,14,3,10,548.17
1anf,OC[C@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]1O,-4.45,189.53,23,342.3,11,8,2,4,283.93
3mbp,OC[C@H]1O[C@@H](O[C@@H]2[C@H](CO)OC(O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]1O,-5.25,268.68,34,504.44,16,11,3,7,416.05
